ID,Society name,Contact name,Contact email,Category,Society logo image,Intro video YouTube link,Teams call address,Society website address,Society Facebook page address,Society Instagram profile address,Society YouTube channel address,Additional society page address,Society email signup address
1,Oxford University Pole Sports,,,Dance & Theatre,img/logos/1.png,https://www.youtube.com/embed/kxqIFhfpQRM,https://teams.microsoft.com/l/meetup-join/19%3ameeting_YjBkZTdjYzctZTAzZi00YjliLWE5ZWMtZTQ4YTQ1ZDFkMGNj%40thread.v2/0?context=%7b%22Tid%22%3a%22cc95de1b-97f5-4f93-b4ba-fe68b852cf91%22%2c%22Oid%22%3a%22d6149776-2a79-400a-ba83-40cd88bec03c%22%7d,https://oupolesports.weebly.com/,https://www.facebook.com/oupolesports/,https://www.instagram.com/oupolesports/,https://www.youtube.com/channel/UCkUbMt3I2e8HxbJ9P8RuqwA,,https://docs.google.com/forms/d/e/1FAIpQLSdPAfSw_DGuERBDWqzr_-hmygMOhVndNAp15BGIrP6gs1wfrw/viewform
2,Love Oxford Students,,,Faith,img/logos/2.png,https://www.youtube.com/embed/5Khxp9WecLo,https://teams.microsoft.com/l/meetup-join/19%3ameeting_MDI1YWExOTctOTZkNi00ZDhmLWE0NDUtNGIzNGY0M2MwN2I0%40thread.v2/0?context=%7b%22Tid%22%3a%22cc95de1b-97f5-4f93-b4ba-fe68b852cf91%22%2c%22Oid%22%3a%226b758093-d58b-4720-98b4-978a1d054e39%22%7d,https://www.loveoxfordstudents.co.uk,,,,,
3,Oxford Vegan and Vegetarian Society (Vegsoc),,,Campaigning,img/logos/3.png,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_YjdkZjYyMmEtNzMyNy00ODQzLWJiN2ItYzg5MmU3MWE3NGE5%40thread.v2/0?context=%7b%22Tid%22%3a%22cc95de1b-97f5-4f93-b4ba-fe68b852cf91%22%2c%22Oid%22%3a%2219a76a1d-f065-43eb-8bdf-7e331ecdf398%22%7d,https://vegsocoxford.wixsite.com/mysite-2,https://www.facebook.com/OxfordVegsoc/,https://www.instagram.com/oxvegsoc/,,,https://wixsite.us2.list-manage.com/subscribe?u=7a9f6e6aa4c0a0fc9a4f12910&id=b02c9c387c
4,The Oxford Gargoyles,,,Music,img/logos/4.png,https://www.youtube.com/embed/aLLaMLWdwGg,https://teams.microsoft.com/l/meetup-join/19%3ameeting_YTc2M2VkMjItNzdhMS00ZmY3LTk4NDUtN2Q3OGU0OTc3YTdj%40thread.v2/0?context=%7b%22Tid%22%3a%22cc95de1b-97f5-4f93-b4ba-fe68b852cf91%22%2c%22Oid%22%3a%22535af47b-3c82-43e9-ae2a-046bbd458b37%22%7d,https://www.theoxfordgargoyles.com/,https://www.facebook.com/theoxfordgargoyles,https://www.instagram.com/theoxfordgargoyles/,https://www.youtube.com/channel/UCtzGLpButRj-FpwSuXAjMwQ,,https://bit.ly/GargoylesAuditions
5,Oxford University Hip Hop Society,,,Music,img/logos/5.jpg,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_OWIwOTYyMmItNDllZC00MmE1LWI1M2ItNWIwZGZhMzc4M2Jk%40thread.v2/0?context=%7b%22Tid%22%3a%22cc95de1b-97f5-4f93-b4ba-fe68b852cf91%22%2c%22Oid%22%3a%225fa11e49-71e0-4382-b9f9-bcc2bb60d1e6%22%7d,https://oxforduniversityhiphopsociety.wordpress.com/,https://www.facebook.com/oxforduniversityhiphopsociety,,,,https://facebook.us13.list-manage.com/subscribe?u=27d50cea9ebbd97467323a1cc&id=591398cd38
6,Sing Inside,,,Volunteering,img/logos/6.png,https://www.youtube.com/embed/BQbImrCusYM,https://teams.microsoft.com/l/meetup-join/19%3ameeting_YTMxZGRjZWMtYTIzMi00OWVkLThiMjYtMmM0Y2EyZWYyYWVj%40thread.v2/0?context=%7b%22Tid%22%3a%22cc95de1b-97f5-4f93-b4ba-fe68b852cf91%22%2c%22Oid%22%3a%22a4d625b1-0d46-46b5-ae1e-2d52c79f272f%22%7d,https://www.singinside.org/,https://www.facebook.com/singinsideupdates/,http://www.instagram.com/singinside,https://www.youtube.com/channel/UCAxMbTYOYetbsV1fNBGmMdw,,https://singinside.us19.list-manage.com/subscribe?u=4d2d24b5bab64e77e0658097f&id=7c7a287437
7,Oxford Universities Quidditch Club,,,Sport,img/logos/7.png,https://www.youtube.com/embed/MNOU7jXh9AA,https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjA2ODYyNjUtN2NkMy00ZTVhLTljZGEtYWUwZWUxMGNhYjdj%40thread.v2/0?context=%7b%22Tid%22%3a%22cc95de1b-97f5-4f93-b4ba-fe68b852cf91%22%2c%22Oid%22%3a%224d572e5d-ad50-47ac-b736-5dd92ec49f6f%22%7d,ouqc.co.uk,https://www.facebook.com/OxUniQuidditch,https://www.instagram.com/oxuniquidditch/,https://www.youtube.com/user/OUQC/,https://twitter.com/OxUniQuidditch,
8,Oxford University Ceilidh Band,,,Music,img/logos/8.jpg,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_YTQyZDlmYmMtYTlmYS00Y2IwLWJkNTYtODMzODk4N2QzMTMy%40thread.v2/0?context=%7b%22Tid%22%3a%22cc95de1b-97f5-4f93-b4ba-fe68b852cf91%22%2c%22Oid%22%3a%22e09c5d8f-e7ee-44c7-82ab-243ba2343b71%22%7d,http://ouceilidhband.org/,https://www.facebook.com/OUCeilidhBand,http://www.instagram.com/ouceilidhband,,https://docs.google.com/spreadsheets/d/1JA7S3Rqg9mbVK4w5DXi_83prbphNgVSY6Ub2DhZWD10/edit?usp=sharing,
9,Hertford College Music Society,,,Music,img/logos/9.png,https://www.youtube.com/embed/3nkYnS24rqY,https://teams.microsoft.com/l/meetup-join/19%3ameeting_OWQwZjY5ODAtNDRjMS00ZGQ3LTg4ZDktMGFjZjA4MWQ3NThl%40thread.v2/0?context=%7b%22Tid%22%3a%22cc95de1b-97f5-4f93-b4ba-fe68b852cf91%22%2c%22Oid%22%3a%22ea3dd268-7d67-4248-9c74-bbf6f0803d5b%22%7d,https://www.hertfordmusic.org/,https://www.facebook.com/HertfordMusic,https://www.instagram.com/hertfordmusic/?hl=en,https://www.youtube.com/user/HertfordMusicSociety,,https://docs.google.com/forms/d/e/1FAIpQLScnxusnn2O5wO6pQvcSLxNjHwa62yoFdpUZv1lZwxHYwlpecg/viewform?usp=sf_link 
10,The Arcadian Singers of Oxford,,,Music,img/logos/10.jpg,https://www.youtube.com/embed/LPS_P8Ug5es,https://teams.microsoft.com/l/meetup-join/19%3ameeting_ODRkYmZmOWUtZTI0OS00NDQyLWI5YjYtYjBmMTI3NzQzODNj%40thread.v2/0?context=%7b%22Tid%22%3a%22cc95de1b-97f5-4f93-b4ba-fe68b852cf91%22%2c%22Oid%22%3a%2265ac56c4-1473-4ecf-8d12-4d09dce826c9%22%7d,www.arcadiansingers.co.uk,https://www.facebook.com/arcadiansingers,https://www.instagram.com/arcadiansingersoxford/,,https://twitter.com/arcadiansingers,
